seed,descriptor_set,candidate,C,gamma,epsilon,val_mse,val_mae,fit_seconds,mean_support_vector_ratio,selected
0,oracle_full,rbf_svr_C_1000_gamma_0p01_eps_0.04,1000.0,0.01,0.04,0.0028926538818469976,0.03453993605098057,1.1856119169970043,0.3495238095238095,False
1,oracle_full,rbf_svr_C_100_gamma_0p0005_eps_0.02,100.0,0.0005,0.02,0.003442146448233483,0.03445964997875222,0.43796612502774224,0.5602380952380952,False
1,oracle_full,rbf_svr_C_100_gamma_0p0005_eps_0.03,100.0,0.0005,0.03,0.0034512246699286175,0.036791159918016736,0.3749499580007978,0.4583333333333333,False
1,oracle_full,rbf_svr_C_100_gamma_0p0005_eps_0.04,100.0,0.0005,0.04,0.0035665508388193516,0.04016990485050619,0.32997383299516514,0.38654761904761903,False
1,oracle_full,rbf_svr_C_100_gamma_0p00075_eps_0.02,100.0,0.00075,0.02,0.0029371875241604958,0.03113897359788569,0.5540557500207797,0.5291666666666667,False
1,oracle_full,rbf_svr_C_100_gamma_0p00075_eps_0.03,100.0,0.00075,0.03,0.0029776583451932392,0.033671315753400134,0.46742554201046005,0.4269047619047619,False
1,oracle_full,rbf_svr_C_100_gamma_0p00075_eps_0.04,100.0,0.00075,0.04,0.0031415495379022783,0.037129467875938495,0.366088375041727,0.3517857142857143,False
1,oracle_full,rbf_svr_C_100_gamma_0p001_eps_0.02,100.0,0.001,0.02,0.0026320421166657216,0.029085403979636198,0.6172994999797083,0.5117857142857143,False
1,oracle_full,rbf_svr_C_100_gamma_0p001_eps_0.03,100.0,0.001,0.03,0.0027048876396645167,0.03175897602892863,0.5032027920242399,0.40523809523809523,False
1,oracle_full,rbf_svr_C_100_gamma_0p001_eps_0.04,100.0,0.001,0.04,0.0028733460694178093,0.0350248405043913,0.4061587500036694,0.33095238095238094,False
1,oracle_full,rbf_svr_C_100_gamma_0p003_eps_0.02,100.0,0.003,0.02,0.001929568134886123,0.025192355393822325,1.2271584589616396,0.4810714285714286,False
1,oracle_full,rbf_svr_C_100_gamma_0p003_eps_0.03,100.0,0.003,0.03,0.00204424721487573,0.02734286190973964,0.7697348750079982,0.3705952380952381,False
1,oracle_full,rbf_svr_C_100_gamma_0p003_eps_0.04,100.0,0.003,0.04,0.002223486979711112,0.02991782832411043,0.5813286660122685,0.29773809523809525,False
1,oracle_full,rbf_svr_C_100_gamma_0p01_eps_0.02,100.0,0.01,0.02,0.0021285438232014095,0.0271874751508782,1.528540792001877,0.5351190476190476,False
1,oracle_full,rbf_svr_C_100_gamma_0p01_eps_0.03,100.0,0.01,0.03,0.002328449166668865,0.0299936416011663,1.073985041002743,0.41928571428571426,False
1,oracle_full,rbf_svr_C_100_gamma_0p01_eps_0.04,100.0,0.01,0.04,0.0025640302902208765,0.03314222882014268,0.6564493330079131,0.3491666666666667,False
1,oracle_full,rbf_svr_C_300_gamma_0p0005_eps_0.02,300.0,0.0005,0.02,0.0026395702541639845,0.029040250338695475,0.9890029579983093,0.5128571428571429,False
1,oracle_full,rbf_svr_C_300_gamma_0p0005_eps_0.03,300.0,0.0005,0.03,0.002686717449305691,0.03140076565095053,0.6778927079867572,0.40214285714285714,False
1,oracle_full,rbf_svr_C_300_gamma_0p0005_eps_0.04,300.0,0.0005,0.04,0.002832307416320695,0.034469524424720725,0.552355499996338,0.32476190476190475,False
1,oracle_full,rbf_svr_C_300_gamma_0p00075_eps_0.02,300.0,0.00075,0.02,0.0022811842388081255,0.026873776806695684,1.207125042041298,0.4888095238095238,False
1,oracle_full,rbf_svr_C_300_gamma_0p00075_eps_0.03,300.0,0.00075,0.03,0.0023506222048160176,0.028920341011117675,0.9042255000094883,0.3775,False
1,oracle_full,rbf_svr_C_300_gamma_0p00075_eps_0.04,300.0,0.00075,0.04,0.002516351764240399,0.03173139177753526,0.6725100420298986,0.30083333333333334,False
1,oracle_full,rbf_svr_C_300_gamma_0p001_eps_0.02,300.0,0.001,0.02,0.002079485797510481,0.025570843151214887,1.462564375018701,0.47845238095238096,False
1,oracle_full,rbf_svr_C_300_gamma_0p001_eps_0.03,300.0,0.001,0.03,0.0021509179692314343,0.027462783395500436,1.029294750012923,0.36607142857142855,False
1,oracle_full,rbf_svr_C_300_gamma_0p001_eps_0.04,300.0,0.001,0.04,0.002319392044774909,0.0300571709684195,0.7685155000071973,0.29035714285714287,False
1,oracle_full,rbf_svr_C_300_gamma_0p003_eps_0.02,300.0,0.003,0.02,0.0017059350275122956,0.024035910914505815,2.8266287919832394,0.4795238095238095,False
1,oracle_full,rbf_svr_C_300_gamma_0p003_eps_0.03,300.0,0.003,0.03,0.0017465093346652708,0.02553380274040686,1.9317507909727283,0.3641666666666667,False
