method,noise_level,noise_percent,replicate,severity,n_entries,signed_bias,mae,rmse,underestimation_ratio,overestimation_ratio,equal_ratio
calibrated_svr,0.1,10,4,medium,172,0.04665097597532134,0.11654258018040091,0.13953375181200764,0.3372093023255814,0.6627906976744186,0.0
calibrated_svr,0.1,10,4,high,274,0.05423890211574933,0.12319233578930501,0.14385749777093224,0.2664233576642336,0.7335766423357665,0.0
calibrated_svr,0.1,10,4,damaged,555,0.055949112518938436,0.11942314717710914,0.1433556636344568,0.3045045045045045,0.6954954954954955,0.0
calibrated_svr,0.2,20,0,all,1800,0.27239037524491705,0.29215631176969614,0.3387759933473483,0.06277777777777778,0.8005555555555556,0.13666666666666666
calibrated_svr,0.2,20,0,zero,1245,0.316721190933358,0.316721190933358,0.36917006098476585,0.0,0.8024096385542169,0.19759036144578312
calibrated_svr,0.2,20,0,low,109,0.23747550982991522,0.2711753437838022,0.30781167087856587,0.23853211009174313,0.7614678899082569,0.0
calibrated_svr,0.2,20,0,medium,172,0.19565522958170806,0.2618813397505139,0.2806567280577416,0.22674418604651161,0.7732558139534884,0.0
calibrated_svr,0.2,20,0,high,274,0.1330192068222827,0.2078896918390496,0.21808818396028679,0.17518248175182483,0.8248175182481752,0.0
calibrated_svr,0.2,20,0,damaged,555,0.17294557248436038,0.23705131256472511,0.257876909891174,0.2036036036036036,0.7963963963963964,0.0
calibrated_svr,0.2,20,1,all,1800,0.2710724628397979,0.29098204545686396,0.33768317702002837,0.06277777777777778,0.8011111111111111,0.1361111111111111
calibrated_svr,0.2,20,1,zero,1245,0.3164037044159162,0.3164037044159162,0.3687406829028627,0.0,0.8032128514056225,0.19678714859437751
calibrated_svr,0.2,20,1,low,109,0.2230139883903024,0.25632745562029224,0.2958653322754486,0.24770642201834864,0.7522935779816514,0.0
calibrated_svr,0.2,20,1,medium,172,0.19267999103433273,0.2608010169416471,0.27922639311907,0.23255813953488372,0.7674418604651163,0.0
calibrated_svr,0.2,20,1,high,274,0.13342459095391407,0.20820292791227848,0.21798479520970956,0.1678832116788321,0.8321167883211679,0.0
calibrated_svr,0.2,20,1,damaged,555,0.1693834614663435,0.23395508076493596,0.25458535409267347,0.2036036036036036,0.7963963963963964,0.0
calibrated_svr,0.2,20,2,all,1800,0.2724199404358925,0.29262498943514986,0.33874334628317976,0.06222222222222222,0.8022222222222222,0.13555555555555557
calibrated_svr,0.2,20,2,zero,1245,0.31682698378668434,0.31682698378668434,0.3688804082644766,0.0,0.8040160642570281,0.19598393574297188
calibrated_svr,0.2,20,2,low,109,0.2358312385095488,0.26853721046449625,0.30651025858579045,0.23853211009174313,0.7614678899082569,0.0
calibrated_svr,0.2,20,2,medium,172,0.1982722759794399,0.2645608647602688,0.28258807356296484,0.23255813953488372,0.7674418604651163,0.0
calibrated_svr,0.2,20,2,high,274,0.13174402008824818,0.20985533390310743,0.21914308574255698,0.1678832116788321,0.8321167883211679,0.0
calibrated_svr,0.2,20,2,damaged,555,0.1728041404868189,0.23833402913305904,0.2586664262850376,0.2018018018018018,0.7981981981981981,0.0
calibrated_svr,0.2,20,3,all,1800,0.27015920398095367,0.2913421092154855,0.33712000348978366,0.0661111111111111,0.7972222222222223,0.13666666666666666
calibrated_svr,0.2,20,3,zero,1245,0.3147108089079589,0.3147108089079589,0.36674371743827955,0.0,0.8024096385542169,0.19759036144578312
calibrated_svr,0.2,20,3,low,109,0.2316360774108927,0.26385492071111993,0.30300792057203974,0.25688073394495414,0.7431192660550459,0.0
calibrated_svr,0.2,20,3,medium,172,0.19584754439911709,0.26402767358930385,0.28157741479937126,0.2441860465116279,0.7558139534883721,0.0
calibrated_svr,0.2,20,3,high,274,0.12969890511267287,0.21324048643281987,0.22173220938134372,0.17883211678832117,0.8211678832116789,0.0
calibrated_svr,0.2,20,3,damaged,555,0.1702191172528069,0.2389204315269639,0.2586037564304087,0.21441441441441442,0.7855855855855856,0.0
calibrated_svr,0.2,20,4,all,1800,0.2736577467393418,0.2931463763694267,0.3393227732681465,0.06388888888888888,0.8016666666666666,0.13444444444444445
calibrated_svr,0.2,20,4,zero,1245,0.31801853068037406,0.31801853068037406,0.36984006182454504,0.0,0.8056224899598393,0.19437751004016066
calibrated_svr,0.2,20,4,low,109,0.23882659039367815,0.2711583537577192,0.30748709297483706,0.22935779816513763,0.7706422018348624,0.0
calibrated_svr,0.2,20,4,medium,172,0.19742352484182912,0.26558368333498017,0.2823089664170021,0.2441860465116279,0.7558139534883721,0.0
calibrated_svr,0.2,20,4,high,274,0.133802659883372,0.20618157910472368,0.21735668606463363,0.17518248175182483,0.8248175182481752,0.0
calibrated_svr,0.2,20,4,damaged,555,0.1741457178986477,0.23735208426649054,0.25805481371340916,0.2072072072072072,0.7927927927927928,0.0
